"KID","THETIME","VALUE_CURRENT","ROWID"
"imp-063-7","2000/1/1 3:24:00","49.8762","AAAgzVAAHAAAzsFAAA"
"imp-063-7","2000/1/1 3:30:00","48.5097","AAAgzVAAHAAAzsFAAB"
"imp-063-7","2000/1/1 3:36:00","48.1694","AAAgzVAAHAAAzsFAAC"
"imp-063-7","2000/1/1 3:42:00","47.1268","AAAgzVAAHAAAzsFAAD"
"imp-063-7","2000/1/1 3:48:00","45.6567","AAAgzVAAHAAAzsFAAE"
"imp-063-7","2000/1/1 3:54:00","45.2908","AAAgzVAAHAAAzsFAAF"
"imp-063-7","2000/1/1 4:00:00","44.4900","AAAgzVAAHAAAzsFAAG"
"imp-063-7","2000/1/1 4:06:00","44.3305","AAAgzVAAHAAAzsFAAH"
"imp-063-7","2000/1/1 4:12:00","42.8314","AAAgzVAAHAAAzsFAAI"
"imp-063-7","2000/1/1 4:18:00","41.8171","AAAgzVAAHAAAzsFAAJ"
"imp-063-7","2000/1/1 4:24:00","41.7935","AAAgzVAAHAAAzsFAAK"
"imp-063-7","2000/1/1 4:30:00","40.9308","AAAgzVAAHAAAzsFAAL"
"imp-063-7","2000/1/1 4:36:00","40.7807","AAAgzVAAHAAAzsFAAM"
"imp-063-7","2000/1/1 4:42:00","40.6262","AAAgzVAAHAAAzsFAAN"
"imp-063-7","2000/1/1 4:48:00","39.4278","AAAgzVAAHAAAzsFAAO"
"imp-063-7","2000/1/1 4:54:00","39.0011","AAAgzVAAHAAAzsFAAP"
"imp-063-7","2000/1/1 5:00:00","38.9326","AAAgzVAAHAAAzsFAAQ"
"imp-063-7","2000/1/1 5:06:00","38.5506","AAAgzVAAHAAAzsFAAR"
"imp-063-7","2000/1/1 5:12:00","37.9841","AAAgzVAAHAAAzsFAAS"
"imp-063-7","2000/1/1 5:18:00","39.3340","AAAgzVAAHAAAzsFAAT"
"imp-063-7","2000/1/1 5:24:00","38.7722","AAAgzVAAHAAAzsFAAU"
"imp-063-7","2000/1/1 5:30:00","38.2861","AAAgzVAAHAAAzsFAAV"
"imp-063-7","2000/1/1 5:36:00","38.5199","AAAgzVAAHAAAzsFAAW"
"imp-063-7","2000/1/1 5:42:00","39.2588","AAAgzVAAHAAAzsFAAX"
"imp-063-7","2000/1/1 5:48:00","39.1402","AAAgzVAAHAAAzsFAAY"
